store_id,product_id,date,unit
15,192,2016-02-28,1
15,203,2016-02-28,1
15,107,2016-02-28,1
15,97,2016-02-28,1
15,271,2016-02-28,1
15,95,2016-02-28,1
15,230,2016-02-28,1
15,127,2016-02-28,1
15,175,2016-02-28,1
15,119,2016-02-28,1
15,222,2016-02-28,1
15,268,2016-02-28,1
15,204,2016-02-28,1
15,182,2016-02-28,1
15,2,2016-02-28,1
15,125,2016-02-28,1
15,39,2016-02-28,1
15,263,2016-02-28,1
30,252,2016-02-28,1
30,131,2016-02-28,2
30,4,2016-02-28,1
30,42,2016-02-28,1
30,55,2016-02-28,1
30,21,2016-02-28,1
30,48,2016-02-28,1
30,211,2016-02-28,1
30,199,2016-02-28,1
30,187,2016-02-28,1
30,98,2016-02-28,1
30,37,2016-02-28,1
30,163,2016-02-28,1
30,132,2016-02-28,1
30,248,2016-02-28,1
30,234,2016-02-28,1
30,228,2016-02-28,2
30,2,2016-02-28,6
30,189,2016-02-28,2
30,183,2016-02-28,1
45,276,2016-02-28,2
45,198,2016-02-28,1
45,29,2016-02-28,1
45,62,2016-02-28,1
45,102,2016-02-28,1
45,56,2016-02-28,1
45,279,2016-02-28,1
45,230,2016-02-28,2
45,2,2016-02-28,2
45,1,2016-02-28,1
60,13,2016-02-28,1
60,17,2016-02-28,1
60,271,2016-02-28,1
60,120,2016-02-28,1
60,279,2016-02-28,1
60,23,2016-02-28,1
60,118,2016-02-28,1
60,122,2016-02-28,1
75,55,2016-02-28,1
75,103,2016-02-28,1
75,72,2016-02-28,1
75,13,2016-02-28,1
75,104,2016-02-28,1
75,56,2016-02-28,1
75,320,2016-02-28,2
75,106,2016-02-28,1
75,136,2016-02-28,1
75,234,2016-02-28,1
90,148,2016-02-28,1
90,252,2016-02-28,1
90,4,2016-02-28,2
90,49,2016-02-28,1
90,104,2016-02-28,1
90,215,2016-02-28,1
90,123,2016-02-28,1
90,321,2016-02-28,1
90,20,2016-02-28,1
15,4,2016-02-29,1
15,21,2016-02-29,1
15,29,2016-02-29,2
15,173,2016-02-29,1
15,279,2016-02-29,1
15,119,2016-02-29,1
15,219,2016-02-29,1
15,132,2016-02-29,1
15,70,2016-02-29,1
15,123,2016-02-29,1
15,262,2016-02-29,1
15,164,2016-02-29,1
15,284,2016-02-29,1
15,311,2016-02-29,1
30,4,2016-02-29,2
30,288,2016-02-29,1
30,231,2016-02-29,1
30,160,2016-02-29,1
30,66,2016-02-29,1
30,199,2016-02-29,1
30,150,2016-02-29,1
30,49,2016-02-29,1
30,194,2016-02-29,1
30,147,2016-02-29,1
30,120,2016-02-29,2
30,56,2016-02-29,1
30,157,2016-02-29,1
30,320,2016-02-29,1
30,5,2016-02-29,1
30,280,2016-02-29,1
30,136,2016-02-29,1
30,123,2016-02-29,1
30,262,2016-02-29,1
30,234,2016-02-29,2
30,228,2016-02-29,1
30,12,2016-02-29,1
30,2,2016-02-29,5
30,84,2016-02-29,1
30,63,2016-02-29,1
30,183,2016-02-29,1
30,311,2016-02-29,1
45,148,2016-02-29,1
45,4,2016-02-29,1
45,66,2016-02-29,1
45,55,2016-02-29,1
45,21,2016-02-29,4
45,29,2016-02-29,3
45,13,2016-02-29,1
45,24,2016-02-29,1
45,255,2016-02-29,1
45,70,2016-02-29,1
45,285,2016-02-29,1
60,26,2016-02-29,1
60,232,2016-02-29,1
60,77,2016-02-29,2
60,192,2016-02-29,1
60,288,2016-02-29,2
60,42,2016-02-29,1
60,246,2016-02-29,1
